iter	RMSE
0	1.115392646
1	1.084733434
2	1.059757046
3	1.037659115
4	1.016442537
5	0.9964856433
6	0.9792809682
7	0.9670599975
8	0.9564338981
9	0.9460597828
10	0.9370033591
11	0.9287014485
12	0.9209506543
13	0.9141797103
14	0.9076934248
15	0.9028036217
16	0.8968644504
17	0.8899136494
18	0.8864790196
19	0.8823743562
20	0.8780740072
21	0.8739720807
22	0.8712338906
23	0.8681074203
24	0.8655361543
25	0.8639612773
26	0.8603785398
27	0.8591063199
28	0.8557013971
29	0.8543070448
30	0.8512107465
31	0.8495859589
32	0.8459489345
33	0.8447395346
34	0.8440683419
35	0.842210763
36	0.8401151275
37	0.837622264
38	0.8368224839
39	0.8327551519
40	0.8322826383
41	0.8299708336
42	0.829078077
43	0.828005039
44	0.8273579774
45	0.8262045586
46	0.8248207206
47	0.8218615104
48	0.8205553935
49	0.8182490191
50	0.8168610097
51	0.814612941
52	0.8128675828
53	0.8107593214
54	0.8091937941
55	0.8077007763
56	0.8061082154
57	0.8030551933
58	0.8021367021
59	0.8012726107
60	0.8004089418
61	0.7984269175
62	0.7972989044
63	0.7968027922
64	0.7959904322
65	0.7947913766
66	0.7934092504
67	0.7922977946
68	0.7917008209
69	0.7897117111
70	0.7893068594
71	0.7889921565
72	0.7881246462
73	0.7864749916
74	0.7860910889
75	0.7851646386
76	0.7843588073
77	0.7838067483
78	0.7829105231
79	0.7818922128
80	0.7799354346
81	0.7795169789
82	0.777825016
83	0.7774146108
84	0.777055193
85	0.7759822413
86	0.7744723954
87	0.7742352618
88	0.7737374997
89	0.7718038036
90	0.7709000855
91	0.7694381826
92	0.7680531995
93	0.7666280878
94	0.7650934535
95	0.7646791668
96	0.7633723782
97	0.7620958947
98	0.761136455
99	0.7601963741
