iter	Passed	Remaining
0	7	762
1	15	753
2	22	734
3	30	736
4	38	726
5	46	722
6	53	717
7	62	720
8	71	718
9	80	720
10	88	713
11	96	706
12	104	697
13	113	694
14	121	687
15	129	681
16	138	676
17	147	671
18	155	664
19	164	657
20	172	650
21	180	641
22	190	636
23	198	628
24	207	621
25	217	618
26	226	612
27	234	604
28	243	596
29	252	589
30	260	580
31	270	574
32	279	568
33	287	558
34	295	549
35	303	539
36	311	530
37	320	522
38	329	514
39	337	506
40	346	498
41	354	489
42	362	480
43	370	471
44	378	462
45	386	453
46	394	444
47	403	436
48	411	428
49	419	419
50	427	410
51	435	402
52	443	393
53	451	384
54	458	375
55	466	366
56	473	357
57	481	348
58	489	339
59	497	331
60	504	322
61	511	313
62	519	304
63	526	296
64	534	287
65	541	278
66	548	270
67	555	261
68	563	253
69	571	244
70	579	236
71	586	228
72	593	219
73	601	211
74	609	203
75	616	194
76	624	186
77	631	178
78	638	169
79	645	161
80	652	153
81	659	144
82	666	136
83	674	128
84	681	120
85	689	112
86	697	104
87	706	96
88	714	88
89	722	80
90	730	72
91	738	64
92	746	56
93	753	48
94	761	40
95	769	32
96	777	24
97	784	16
98	792	8
99	800	0
